,player.id,team.id,Season,GP,GS,R,2B,3B,HR,SO,BB,IBB,H,HBP,AB,Pitches,IP,W,L,SV,SVo,HLD,BS,ER,BF,Outs,G,CG,SHO,Strikes,BK,WP,PK,GF,IR,IR-A,CI,SH,SF,stat.inningsPitched_1,stat.inningsPitched_2,BQR,BQR-S,SB,CS,QS,GIDP,GIDPo,Swings,Whiffs,BIP,RS,FO,PO,LO,GO,FH,PH,LH,GH,Team,count,ERA,WHIP,AVG,P/IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB,PU,LD,FB,BABIP,LOB%,FIP,xFIP,SIERA,ERA+,FIP+,xFIP+,SIERA+,GB/FB,LD%,GB%,FB%,PU%,HR/FB,Balls,Contacts,Strike%,Ball%,Whiff%,SwStr%,CStr%
156,446005,694,2023,5,0,3,2,0,1,2,3,0,8,1,16,68,3.0,0,1,0,1,0,1,3,20,9,5,0,0,37,0,1,0,0,8,5,0,0,0,3,0,4,0,0,0,0,1,4,21,1,14,1,3,1,0,2,1,0,3,4,ORI,,9.00,3.67,.500,22.67,6.00,9.00,0.67,3.00,10.0,15.0,-5.0,6,1,3,4,.540,84.9,10.69,7.08,6.14,56,47,71,80,1.50,21.4,42.9,28.6,7.1,0.25,31,20,54.4,45.6,4.8,1.5,23.5
252,446861,699,2023,9,9,15,2,1,3,18,15,0,24,2,121,543,33.1,1,4,0,0,0,0,13,138,100,9,0,0,325,0,2,0,0,0,0,0,0,0,33,1,5,2,4,1,0,4,22,228,50,103,25,28,14,6,31,4,0,9,11,ARA,,3.51,1.17,.200,16.29,4.86,4.05,1.20,0.81,13.0,10.9,2.1,42,14,15,32,.210,70.7,5.31,4.66,5.34,142,94,107,92,1.31,14.6,40.8,31.1,13.6,0.09,218,178,59.9,40.1,21.9,9.2,17.9
192,448855,698,2023,4,4,9,1,0,2,7,8,0,15,0,50,211,13.0,0,0,0,0,0,0,9,61,39,4,0,0,123,0,0,0,0,0,0,0,2,1,13,0,3,0,1,0,0,1,8,88,15,46,14,10,1,0,20,4,0,3,8,LAG,,6.23,1.77,.300,16.23,4.85,5.54,0.88,1.38,11.5,13.1,-1.6,28,1,3,14,.310,69.3,6.46,5.04,5.20,80,77,99,94,2.00,6.5,60.9,30.4,2.2,0.14,88,73,58.3,41.7,17.0,7.1,16.6
220,448857,693,2023,24,0,17,4,1,1,4,4,1,28,2,82,296,19.1,0,1,0,0,2,0,8,90,58,24,0,0,189,0,1,0,4,20,2,0,0,2,19,1,10,4,3,0,0,4,20,154,20,80,6,13,4,6,29,5,0,14,9,LAR,,3.72,1.66,.340,15.31,1.86,1.86,1.00,0.47,4.4,4.4,0.0,38,4,20,18,.340,52.1,4.88,4.71,5.41,134,102,106,91,2.11,25.0,47.5,22.5,5.0,0.06,107,134,63.9,36.1,13.0,6.8,11.8
167,452061,698,2023,5,0,0,2,0,0,5,0,0,5,0,20,77,5.1,0,0,0,0,0,0,0,20,16,5,0,0,53,0,0,0,0,7,4,0,0,0,5,1,0,0,1,1,0,0,3,41,12,15,1,6,1,1,2,0,0,2,3,LAG,,0.00,0.94,.250,14.44,8.44,0.00,inf,0.00,25.0,0.0,25.0,5,1,3,6,.330,100.0,1.82,2.43,2.38,0,275,206,206,0.83,20.0,33.3,40.0,6.7,0.00,24,29,68.8,31.2,29.3,15.6,15.6
272,462110,699,2023,1,0,2,0,0,1,1,0,0,2,0,4,15,0.2,0,0,0,1,0,1,2,4,2,1,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,6,2,3,0,0,0,0,1,1,0,1,0,ARA,,27.00,3.00,.500,22.50,13.50,0.00,inf,13.50,25.0,0.0,25.0,1,0,1,1,.500,0.0,20.19,1.51,2.38,19,25,331,206,1.00,33.3,33.3,33.3,0.0,1.00,7,4,53.3,46.7,33.3,13.3,13.3
209,462480,693,2023,6,0,1,0,1,0,1,2,1,5,0,20,68,5.2,0,0,0,1,0,1,1,22,17,6,0,0,47,0,0,0,1,0,0,0,0,0,5,2,3,0,1,0,0,2,4,26,3,19,2,1,1,1,11,1,0,2,2,LAR,,1.59,1.24,.250,12.00,1.59,3.18,0.50,0.00,4.5,9.1,-4.6,13,1,3,2,.260,85.7,4.40,4.59,4.20,314,114,109,117,6.50,15.8,68.4,10.5,5.3,0.00,21,23,69.1,30.9,11.5,4.4,30.9
107,462515,695,2023,23,0,7,6,1,0,12,5,0,14,2,75,305,21.1,1,1,1,1,13,0,7,83,64,23,0,0,197,0,2,0,1,3,2,0,1,0,21,1,2,1,1,0,0,1,8,146,27,64,6,21,7,3,19,4,0,6,4,CAR,,2.95,0.89,.190,14.30,5.06,2.11,2.40,0.00,14.5,6.0,8.5,23,7,9,25,.220,66.7,3.55,4.19,4.69,169,141,119,104,0.92,14.1,35.9,39.1,10.9,0.00,108,119,64.6,35.4,18.5,8.9,16.7
260,466463,699,2023,5,0,3,2,0,1,5,1,0,9,0,21,98,4.1,0,0,0,0,0,0,3,22,13,5,0,0,62,0,0,0,2,3,0,0,0,0,4,1,1,0,0,0,0,1,5,40,10,16,0,1,3,0,3,2,0,2,5,ARA,,6.23,2.31,.430,22.62,10.38,2.08,5.00,2.08,22.7,4.5,18.2,8,3,2,3,.530,81.4,5.07,2.45,3.16,80,99,204,155,2.67,12.5,50.0,18.8,18.8,0.33,36,30,63.3,36.7,25.0,10.2,22.4
193,466463,698,2023,11,0,8,1,0,1,4,7,0,6,1,29,137,8.0,0,2,0,2,3,2,6,37,24,11,0,0,82,0,1,0,4,6,2,0,0,0,8,0,5,4,1,0,0,1,7,57,8,25,9,8,0,1,10,1,0,3,2,LAG,,6.75,1.62,.210,17.12,4.50,7.88,0.57,1.12,10.8,18.9,-8.1,12,0,4,9,.210,47.6,7.32,6.30,6.38,74,68,79,77,1.33,16.0,48.0,36.0,0.0,0.11,55,49,59.9,40.1,14.0,5.8,18.2
0,466463,,2023,16,0,11,3,0,2,9,8,0,15,1,50,235,12.1,0,2,0,2,3,2,9,59,37,16,0,0,144,0,1,0,6,9,2,0,0,0,12,1,6,4,1,0,0,2,12,97,18,41,9,9,3,1,13,3,0,5,7,2 Teams,2,6.57,1.86,.300,19.05,6.57,5.84,1.12,1.46,15.3,13.6,1.7,20,3,6,12,.330,61.3,6.53,4.95,5.15,76,77,101,95,1.67,14.6,48.8,29.3,7.3,0.17,91,79,61.3,38.7,18.6,7.7,20.0
77,467094,697,2023,12,12,26,11,1,5,44,19,0,68,2,247,1007,65.1,5,2,0,0,0,0,26,274,196,12,0,0,661,1,0,1,0,0,0,0,3,3,65,1,3,2,12,1,5,6,49,485,85,209,60,54,19,11,57,9,1,31,27,MAR,,3.58,1.33,.280,15.41,6.06,2.62,2.32,0.69,16.1,6.9,9.2,84,20,42,63,.310,76.8,4.30,3.83,4.41,140,116,131,111,1.33,20.1,40.2,30.1,9.6,0.08,346,400,65.6,34.4,17.5,8.4,17.5
108,468504,695,2023,6,6,9,5,0,3,14,7,0,23,1,95,377,26.2,2,2,0,0,0,0,9,104,80,6,0,0,248,0,0,0,0,0,0,0,0,1,26,2,1,0,2,0,2,5,16,173,30,82,12,14,4,4,37,7,0,6,10,CAR,,3.04,1.12,.240,14.14,4.72,2.36,2.00,1.01,13.5,6.7,6.8,47,4,10,21,.250,82.1,5.00,3.97,4.29,164,100,126,114,2.24,12.2,57.3,25.6,4.9,0.14,129,143,65.8,34.2,17.3,8.0,19.9
225,469826,693,2023,10,10,21,6,3,2,22,12,0,47,0,171,655,44.1,5,1,0,0,0,0,21,186,133,10,0,0,446,1,0,0,0,0,0,0,0,3,44,1,8,3,2,1,1,6,29,323,44,152,41,40,6,15,44,4,0,22,21,LAR,,4.26,1.33,.270,14.77,4.47,2.44,1.83,0.41,11.8,6.5,5.3,65,6,37,44,.300,67.6,4.10,4.05,4.86,117,122,123,101,1.48,24.3,42.8,28.9,3.9,0.05,209,279,68.1,31.9,13.6,6.7,18.8
256,500279,699,2023,11,11,24,8,2,4,16,4,0,50,2,169,580,41.2,2,4,0,0,0,0,21,176,125,11,0,0,405,0,1,1,0,0,0,0,1,0,41,2,4,2,1,0,0,6,25,313,41,154,30,35,6,11,52,8,0,27,15,ARA,,4.54,1.30,.300,13.92,3.46,0.86,4.00,0.86,9.1,2.3,6.8,67,6,38,43,.310,63.5,4.60,3.92,4.75,110,109,128,103,1.56,24.7,43.5,27.9,3.9,0.09,175,272,69.8,30.2,13.1,7.1,15.9
9,500610,696,2023,11,0,4,2,0,1,3,4,1,10,1,38,147,9.2,0,0,0,0,3,0,4,45,29,11,0,0,96,0,2,0,1,2,2,0,2,0,9,2,5,0,1,0,0,0,7,80,19,37,4,9,4,0,14,3,0,5,2,MAG,,3.72,1.45,.260,15.21,2.79,3.72,0.75,0.93,6.7,8.9,-2.2,16,4,5,12,.260,80.9,5.97,5.30,6.06,134,84,94,81,1.33,13.5,43.2,32.4,10.8,0.08,51,61,65.3,34.7,23.8,12.9,10.9
182,500872,698,2023,9,0,3,2,1,1,5,4,0,9,0,25,121,6.0,0,0,0,0,1,0,3,30,18,9,0,0,61,0,3,0,0,12,8,0,0,1,6,0,1,0,0,0,0,1,3,47,13,21,12,3,0,3,6,0,0,6,3,LAG,,4.50,2.17,.360,20.17,7.50,6.00,1.25,1.50,16.7,13.3,3.4,9,0,9,3,.400,86.2,6.19,4.30,4.61,111,81,116,106,3.00,42.9,42.9,14.3,0.0,0.33,60,34,50.4,49.6,27.7,10.7,11.6
60,500872,692,2023,18,0,16,3,0,1,17,11,3,19,2,61,295,16.1,1,2,1,4,2,3,11,79,49,18,0,0,175,0,3,0,2,20,9,0,2,3,16,1,9,3,6,1,0,4,23,129,33,49,5,8,5,1,16,4,0,4,11,ZUL,,6.06,1.84,.310,18.06,9.37,6.06,1.55,0.55,21.5,13.9,7.6,27,5,5,12,.390,52.3,4.79,4.40,4.28,83,104,114,114,2.25,10.2,55.1,24.5,10.2,0.08,120,96,59.3,40.7,25.6,11.2,15.6
1,500872,,2023,27,0,19,5,1,2,22,15,3,28,2,86,416,22.1,1,2,1,4,3,3,14,109,67,27,0,0,236,0,6,0,2,32,17,0,2,4,22,1,10,3,6,1,0,5,26,176,46,70,17,11,5,4,22,4,0,10,14,2 Teams,2,5.64,1.93,.330,18.63,8.87,6.04,1.47,0.81,20.2,13.8,6.4,36,5,14,15,.390,61.6,5.17,4.37,4.38,89,97,114,112,2.40,20.0,51.4,21.4,7.1,0.13,180,130,56.7,43.3,26.1,11.1,14.4
227,500882,693,2023,9,9,23,5,0,4,20,9,1,45,2,142,542,34.1,1,3,0,0,0,0,20,155,103,9,0,0,369,0,2,1,0,0,0,0,1,1,34,1,6,0,0,2,0,5,33,260,48,124,9,22,11,8,38,5,0,27,13,LAR,,5.24,1.57,.320,15.79,5.24,2.36,2.22,1.05,12.9,5.8,7.1,51,11,35,27,.340,65.5,5.00,3.91,4.63,95,100,128,106,1.89,28.2,41.1,21.8,8.9,0.15,173,212,68.1,31.9,18.5,8.9,20.1
51,501719,692,2023,19,0,9,1,0,1,5,9,2,18,1,54,239,13.1,2,1,0,0,0,0,8,65,40,19,0,0,148,0,2,0,4,23,6,0,1,0,13,1,9,4,2,0,0,2,18,116,25,50,14,9,4,2,17,1,0,8,9,ZUL,,5.40,2.02,.330,17.93,3.38,6.07,0.56,0.68,7.7,13.8,-6.1,26,4,10,10,.350,71.4,6.16,5.60,5.91,93,81,89,83,2.60,20.0,52.0,20.0,8.0,0.10,91,91,61.9,38.1,21.6,10.5,13.4
231,502253,693,2023,3,3,10,1,0,2,9,4,0,13,1,48,204,12.0,0,0,0,0,0,0,8,54,36,3,0,0,132,1,0,0,0,0,0,0,0,1,12,0,0,0,3,0,0,0,10,97,26,40,5,10,3,2,12,3,0,3,7,LAR,,6.00,1.42,.270,17.00,6.75,3.00,2.25,1.50,16.7,7.4,9.3,19,3,5,13,.290,52.6,5.61,4.03,4.32,83,89,124,113,1.46,12.5,47.5,32.5,7.5,0.15,72,71,64.7,35.3,26.8,12.7,17.2
259,504083,699,2023,19,0,12,5,0,0,12,5,0,26,2,77,318,17.2,1,2,0,1,3,1,11,85,53,19,0,0,213,1,1,0,0,8,2,0,0,1,17,2,16,6,2,1,0,2,19,157,25,66,3,10,6,0,24,1,0,11,14,ARA,,5.60,1.75,.340,18.00,6.11,2.55,2.40,0.00,14.1,5.9,8.2,38,6,11,11,.390,63.6,3.52,3.86,3.98,89,142,130,123,3.45,16.7,57.6,16.7,9.1,0.00,105,132,67.0,33.0,15.9,7.9,17.6
11,506693,696,2023,10,3,12,4,0,1,7,7,0,29,1,90,366,23.1,1,0,0,0,0,0,12,101,70,10,0,0,233,0,1,0,0,6,4,0,1,2,23,1,6,4,2,2,0,5,23,164,17,87,13,14,7,4,32,2,1,15,11,MAG,,4.63,1.54,.320,15.69,2.70,2.70,1.00,0.39,6.9,6.9,0.0,43,8,19,16,.330,70.2,4.68,4.49,5.28,108,107,111,93,2.69,22.1,50.0,18.6,9.3,0.06,133,147,63.7,36.3,10.4,4.6,18.9
66,514894,692,2023,11,1,14,6,1,1,8,10,0,22,1,59,250,14.0,1,0,0,0,0,0,14,72,42,11,0,0,155,0,2,0,0,8,3,0,0,2,14,0,8,3,1,0,0,2,14,117,25,53,14,16,5,2,8,1,1,10,10,ZUL,,9.00,2.29,.370,17.86,5.14,6.43,0.80,0.64,11.1,13.9,-2.8,18,6,12,17,.400,60.1,5.83,5.56,6.07,56,86,90,81,1.06,22.6,34.0,32.1,11.3,0.06,95,92,62.0,38.0,21.4,10.0,15.2
174,514919,698,2023,8,0,3,0,0,1,4,4,0,7,0,31,126,8.2,2,0,0,1,2,1,3,35,26,8,0,0,80,0,0,0,1,3,0,0,0,0,8,2,1,0,1,0,0,2,8,56,12,27,3,7,2,2,9,1,0,3,3,LAG,,3.12,1.27,.230,14.54,4.15,4.15,1.00,1.04,11.4,11.4,0.0,12,2,5,8,.230,83.3,5.65,4.65,5.51,160,88,108,89,1.50,18.5,44.4,29.6,7.4,0.12,46,44,63.5,36.5,21.4,9.5,19.0
218,514981,693,2023,13,0,8,2,1,2,10,1,0,18,0,69,256,17.2,0,0,0,1,0,1,7,71,53,13,0,0,183,0,0,0,4,4,1,0,0,1,17,2,4,0,1,0,0,2,7,143,25,60,4,16,9,6,11,2,0,7,9,LAR,,3.57,1.08,.260,14.49,5.09,0.51,10.00,1.02,14.1,1.4,12.7,20,9,13,18,.280,67.9,4.20,3.28,4.18,140,119,152,117,1.11,21.7,33.3,30.0,15.0,0.11,73,118,71.5,28.5,17.5,9.8,15.6
164,515052,698,2023,1,0,0,0,0,0,0,1,0,1,0,4,16,1.0,0,0,0,0,0,0,0,5,3,1,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,5,0,4,0,0,0,0,3,1,0,0,0,LAG,,0.00,2.00,.250,16.00,0.00,9.00,0.00,0.00,0.0,20.0,-20.0,3,0,0,1,.250,100.0,6.69,7.23,6.21,0,75,69,79,3.00,0.0,75.0,25.0,0.0,0.00,9,5,43.8,56.2,0.0,0.0,12.5
104,515052,695,2023,8,0,1,2,0,0,2,0,0,7,0,23,91,5.2,0,0,0,0,1,0,1,24,17,8,0,0,63,0,0,0,2,7,2,0,0,1,5,2,2,0,2,0,0,0,4,50,4,22,1,8,1,0,6,0,0,6,1,CAR,,1.59,1.24,.300,16.06,3.18,0.00,inf,0.00,8.3,0.0,8.3,7,1,6,8,.320,85.7,2.98,3.75,4.91,314,168,133,100,0.88,27.3,31.8,36.4,4.5,0.00,28,46,69.2,30.8,8.0,4.4,14.3
