,player.id,team.id,Season,GP,GS,R,2B,3B,HR,SO,BB,IBB,H,HBP,AB,Pitches,IP,W,L,SV,SVo,HLD,BS,ER,BF,Outs,G,CG,SHO,Strikes,BK,WP,PK,GF,IR,IR-A,CI,SH,SF,stat.inningsPitched_1,stat.inningsPitched_2,BQR,BQR-S,SB,CS,QS,GIDP,GIDPo,Swings,Whiffs,BIP,RS,FO,PO,LO,GO,FH,PH,LH,GH,Team,count,ERA,WHIP,AVG,P/IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB,PU,LD,FB,BABIP,LOB%,FIP,xFIP,SIERA,ERA+,FIP+,xFIP+,SIERA+,GB/FB,LD%,GB%,FB%,PU%,HR/FB,Balls,Contacts,Strike%,Ball%,Whiff%,SwStr%,CStr%
2,515052,,2023,9,0,1,2,0,0,2,1,0,8,0,27,107,6.2,0,0,0,0,1,0,1,29,20,9,0,0,70,0,0,0,2,7,2,0,0,1,6,2,2,0,2,0,0,0,7,55,4,26,1,8,1,0,9,1,0,6,1,2 Teams,2,1.35,1.35,.300,16.05,2.70,1.35,2.00,0.00,6.9,3.4,3.5,10,1,6,9,.310,88.9,3.54,4.27,5.40,370,141,117,91,1.11,23.1,38.5,34.6,3.8,0.00,37,51,65.4,34.6,7.3,3.7,14.0
265,516148,699,2023,20,0,14,3,1,3,9,11,0,20,0,60,259,14.1,1,2,0,0,3,0,12,73,43,20,0,0,155,0,0,0,2,3,2,0,1,1,14,1,7,3,4,0,0,2,12,120,26,53,10,9,4,3,17,6,0,9,5,ARA,,7.53,2.16,.330,18.07,5.65,6.91,0.82,1.88,12.3,15.1,-2.8,22,4,12,15,.350,63.4,7.46,5.31,5.82,66,67,94,84,1.47,22.6,41.5,28.3,7.5,0.20,104,94,59.8,40.2,21.7,10.0,13.5
19,516853,696,2023,9,0,6,2,0,0,7,5,1,9,1,30,135,7.2,0,0,0,1,1,1,5,36,23,9,0,0,83,0,0,0,1,3,1,0,0,0,7,2,2,1,2,1,0,1,5,64,14,23,2,3,3,0,8,1,0,5,3,MAG,,5.87,1.83,.300,17.61,8.22,5.87,1.40,0.00,19.4,13.9,5.5,11,3,5,4,.390,60.0,4.21,4.50,4.57,85,119,111,107,2.75,21.7,47.8,17.4,13.0,0.00,52,50,61.5,38.5,21.9,10.4,14.1
115,517448,695,2023,18,1,11,3,2,1,13,8,1,21,1,81,353,23.1,6,0,0,0,0,0,10,93,70,18,0,0,227,0,0,0,2,12,5,0,2,1,23,1,9,2,0,2,0,5,18,160,23,71,26,15,2,1,32,8,0,8,5,CAR,,3.86,1.24,.260,15.13,5.01,3.09,1.62,0.39,14.0,8.6,5.4,37,2,9,23,.290,66.4,4.29,4.27,4.68,130,117,117,105,1.61,12.7,52.1,32.4,2.8,0.04,126,137,64.3,35.7,14.4,6.5,19.0
253,541652,699,2023,26,0,11,3,1,1,23,10,0,20,0,90,400,24.0,3,1,2,3,1,1,10,102,72,26,0,0,250,0,2,0,17,3,0,0,1,1,24,0,3,0,2,0,0,2,10,178,60,69,8,17,10,4,18,5,0,9,6,ARA,,3.75,1.25,.220,16.67,8.62,3.75,2.30,0.38,22.5,9.8,12.7,24,10,13,22,.280,66.4,3.56,3.52,3.87,133,140,142,127,1.09,18.8,34.8,31.9,14.5,0.05,150,118,62.5,37.5,33.7,15.0,18.0
64,542360,692,2023,4,4,14,4,0,1,7,6,0,19,2,59,265,13.1,0,1,0,0,0,0,13,68,40,4,0,0,157,0,2,0,0,0,0,0,1,0,13,1,6,5,0,0,0,0,14,117,19,53,5,17,7,1,9,3,0,10,6,ZUL,,8.78,1.88,.320,19.88,4.72,4.05,1.17,0.68,10.3,8.8,1.5,15,7,11,20,.350,50.8,5.42,5.26,5.92,57,92,95,83,0.75,20.8,28.3,37.7,13.2,0.05,108,98,59.2,40.8,16.2,7.2,15.1
65,542587,692,2023,5,0,4,1,0,0,4,3,0,2,2,12,64,3.0,0,0,0,0,0,0,3,17,9,5,0,0,29,0,1,0,1,2,2,0,0,0,3,0,5,3,2,0,0,0,1,20,7,8,3,2,1,1,2,0,0,0,2,ZUL,,9.00,1.67,.170,21.33,12.00,9.00,1.33,0.00,23.5,17.6,5.9,4,1,1,2,.250,42.9,6.02,6.39,4.54,56,83,78,108,2.00,12.5,50.0,25.0,12.5,0.00,35,13,45.3,54.7,35.0,10.9,14.1
162,542587,698,2023,5,0,0,0,0,0,3,2,0,4,0,12,56,3.1,0,0,0,1,1,1,0,15,10,5,0,0,36,0,0,0,1,5,3,0,0,1,3,1,1,0,1,0,0,0,2,26,3,10,1,5,0,0,1,0,0,2,2,LAG,,0.00,1.80,.330,16.80,8.10,5.40,1.50,0.00,20.0,13.3,6.7,3,0,2,5,.400,100.0,3.69,4.51,4.77,0,136,111,103,0.60,20.0,30.0,50.0,0.0,0.00,20,23,64.3,35.7,11.5,5.4,17.9
3,542587,,2023,10,0,4,1,0,0,7,5,0,6,2,24,120,6.1,0,0,0,1,1,1,3,32,19,10,0,0,65,0,1,0,2,7,5,0,0,1,6,1,6,3,3,0,0,0,3,46,10,18,4,7,1,1,3,0,0,2,4,2 Teams,2,4.26,1.74,.250,18.95,9.95,7.11,1.40,0.00,21.9,15.6,6.3,7,1,3,7,.330,69.2,4.80,5.40,4.60,117,104,93,107,1.00,16.7,38.9,38.9,5.6,0.00,55,36,54.2,45.8,21.7,8.3,15.8
99,543803,697,2023,2,2,10,4,0,1,1,3,0,11,0,22,105,4.0,0,0,0,0,0,0,10,26,12,2,0,0,60,0,0,0,0,0,0,0,0,1,4,0,2,1,0,0,0,0,5,41,7,22,7,4,1,1,5,3,0,5,3,MAR,,22.50,3.50,.500,26.25,2.25,6.75,0.33,2.25,3.8,11.5,-7.7,8,1,6,7,.480,31.7,8.69,6.39,6.82,22,58,78,72,1.14,27.3,36.4,31.8,4.5,0.14,45,34,57.1,42.9,17.1,6.7,18.1
114,544150,695,2023,11,11,26,17,0,3,34,12,0,62,0,217,857,54.2,4,2,0,0,0,0,23,231,164,11,0,0,547,0,1,0,0,0,0,0,0,2,54,2,8,3,2,2,2,8,36,415,87,185,36,37,16,11,59,15,1,24,22,CAR,,3.79,1.35,.290,15.68,5.60,1.98,2.83,0.49,14.7,5.2,9.5,81,17,35,52,.320,68.8,3.82,3.62,4.35,132,131,138,113,1.56,18.9,43.8,28.1,9.2,0.06,310,328,63.8,36.2,21.0,10.2,15.4
208,546276,693,2023,5,0,0,1,0,0,8,4,1,3,0,24,108,7.0,0,0,1,1,1,0,0,28,21,5,0,0,66,1,1,0,1,0,0,0,0,0,7,0,0,0,0,1,0,0,4,46,13,16,1,4,2,2,5,1,0,2,0,LAR,,0.00,1.00,.120,15.43,10.29,5.14,2.00,0.00,28.6,14.3,14.3,5,2,4,5,.190,100.0,3.12,3.51,3.56,0,160,142,138,1.00,25.0,31.2,31.2,12.5,0.00,42,33,61.1,38.9,28.3,12.0,18.5
163,547921,698,2023,3,0,0,0,0,0,2,1,0,1,0,12,44,3.2,1,0,0,0,0,0,0,13,11,3,0,0,29,0,0,0,1,1,0,0,0,0,3,2,0,0,1,0,0,0,1,15,2,10,4,3,0,2,4,0,0,0,1,LAG,,0.00,0.55,.080,12.00,4.91,2.45,2.00,0.00,15.4,7.7,7.7,5,0,2,3,.100,100.0,3.42,3.86,4.33,0,146,130,113,1.67,20.0,50.0,30.0,0.0,0.00,15,13,65.9,34.1,13.3,4.5,31.8
210,553883,693,2023,24,0,10,5,0,1,18,8,2,19,0,88,324,24.1,1,2,11,11,1,0,7,97,73,24,0,0,209,0,0,0,18,8,0,0,0,1,24,1,3,3,1,0,0,3,13,151,41,71,8,22,6,2,22,1,0,13,5,LAR,,2.59,1.11,.220,13.32,6.66,2.96,2.25,0.37,18.6,8.2,10.4,27,6,15,23,.260,66.4,3.73,3.71,4.21,193,134,135,116,1.17,21.1,38.0,32.4,8.5,0.04,115,110,64.5,35.5,27.2,12.7,17.9
232,554234,693,2023,3,2,2,0,0,1,0,3,1,3,0,10,53,2.2,0,1,0,0,0,0,2,14,8,3,0,0,34,0,0,0,0,0,0,0,1,0,2,2,2,1,0,0,0,0,2,23,3,11,2,3,0,0,5,0,0,2,1,LAR,,6.75,2.25,.300,19.88,0.00,10.12,0.00,3.38,0.0,21.4,-21.4,6,0,2,3,.220,87.0,11.94,7.68,7.65,74,42,65,64,2.00,18.2,54.5,27.3,0.0,0.33,19,20,64.2,35.8,13.0,5.7,20.8
71,570145,692,2023,1,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZUL,,nan,nan,nan,inf,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,0,0.0,100.0,nan,0.0,0.0
137,570502,694,2023,29,0,9,3,2,2,24,7,1,31,2,114,465,29.2,0,0,1,1,6,0,9,124,89,29,0,0,291,0,0,0,5,16,5,0,1,0,29,2,14,5,1,2,0,3,26,206,49,91,14,21,9,3,27,7,0,12,12,ORI,,2.73,1.28,.270,15.67,7.28,2.12,3.43,0.61,19.4,5.6,13.8,39,9,15,28,.330,83.3,3.86,3.50,3.78,183,130,143,130,1.39,16.5,42.9,30.8,9.9,0.07,174,157,62.6,37.4,23.8,10.5,18.3
131,571787,695,2023,2,1,6,5,0,1,3,3,0,7,0,20,83,4.2,0,1,0,0,0,0,6,23,14,2,0,0,47,0,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,1,2,31,5,17,1,4,0,2,4,1,0,5,1,CAR,,11.57,2.14,.350,17.79,5.79,5.79,1.00,1.93,13.0,13.0,0.0,5,0,7,5,.380,46.5,7.12,4.92,5.55,43,70,102,88,1.00,41.2,29.4,29.4,0.0,0.20,36,26,56.6,43.4,16.1,6.0,19.3
262,571825,699,2023,20,0,17,2,1,2,12,13,0,18,4,67,324,18.0,3,1,1,3,6,2,14,89,54,20,0,0,191,0,2,0,4,16,4,0,3,2,18,0,11,7,0,0,0,1,17,131,24,60,13,12,3,4,23,4,0,6,8,ARA,,7.00,1.72,.270,18.00,6.00,6.50,0.92,1.00,13.5,14.6,-1.1,31,3,10,16,.290,55.9,6.63,5.67,5.37,71,75,88,91,1.94,16.7,51.7,26.7,5.0,0.12,133,107,59.0,41.0,18.3,7.4,18.5
184,572025,698,2023,3,3,8,5,1,0,5,5,0,19,1,52,190,12.2,1,1,0,0,0,0,7,58,38,3,0,0,114,0,1,0,0,0,0,0,0,0,12,2,5,0,1,0,0,3,9,78,9,47,12,8,3,0,17,5,0,7,7,LAG,,4.97,1.89,.370,15.00,3.55,3.55,1.00,0.00,8.6,8.6,0.0,24,3,7,13,.400,68.0,4.32,4.88,5.40,101,116,102,91,1.85,14.9,51.1,27.7,6.4,0.00,76,69,60.0,40.0,11.5,4.7,18.9
191,572308,698,2023,4,1,8,4,0,1,2,8,0,16,0,43,181,10.1,0,2,0,0,0,0,7,52,31,4,0,0,107,1,2,0,1,0,0,0,0,1,10,1,4,0,3,0,0,1,13,79,13,42,6,14,1,0,11,3,0,5,8,LAG,,6.10,2.32,.370,17.52,1.74,6.97,0.25,0.87,3.8,15.4,-11.6,19,1,5,17,.370,70.8,6.88,6.52,7.22,82,73,77,68,1.12,11.9,45.2,40.5,2.4,0.06,74,66,59.1,40.9,16.5,7.2,15.5
207,572309,698,2023,3,1,10,1,0,0,1,3,0,6,1,15,68,3.1,0,0,0,0,0,0,9,20,10,3,0,0,39,0,0,0,0,0,0,0,0,1,3,1,4,4,0,0,0,0,2,30,7,15,0,6,1,0,2,0,0,5,1,LAG,,24.30,2.70,.400,20.40,2.70,8.10,0.33,0.00,5.0,15.0,-10.0,3,1,5,6,.400,0.0,6.69,7.67,7.72,21,75,65,63,0.50,33.3,20.0,40.0,6.7,0.00,29,23,57.4,42.6,23.3,10.3,13.2
