index,player.id,team.id,Season,GP,GS,R,2B,3B,HR,SO,BB,IBB,H,HBP,AB,Pitches,IP,W,L,SV,SVo,HLD,BS,ER,BF,Outs,G,CG,SHO,Strikes,BK,WP,PK,GF,IR,IR-A,CI,SH,SF,stat.inningsPitched_1,stat.inningsPitched_2,BQR,BQR-S,SB,CS,QS,GIDP,GIDPo,Swings,Whiffs,BIP,RS,FO,PO,LO,GO,FH,PH,LH,GH,Team,count,ERA,WHIP,AVG,P/IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB,PU,LD,FB,BABIP,LOB%,FIP,xFIP,SIERA,ERA+,FIP+,xFIP+,SIERA+,GB/FB,LD%,GB%,FB%,PU%,HR/FB,Balls,Contacts,Strike%,Ball%,Whiff%,SwStr%,CStr%
44,650492,692.0,2024,1,0,0,0,0,0,4,0,0,1,0,6,32,2.0,1,0,0,0,0,0,0,6,6,1,0,0,21,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,17,8,2,1,0,0,0,1,0,0,1,0,ZUL,,0.00,0.50,.170,16.00,18.00,0.00,inf,0.00,66.7,0.0,66.7,1,0,1,0,.500,100.0,-0.70,-0.70,-1.15,42600,48700,48700,55400,inf,50.0,50.0,0.0,0.0,nan,11,9,65.6,34.4,47.1,25.0,12.5
52,660508,695.0,2024,1,0,0,0,0,0,1,1,0,1,0,4,25,1.0,0,0,0,0,0,0,0,5,3,1,0,0,16,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,11,2,3,0,1,0,0,1,1,0,0,0,CAR,,0.00,2.00,.250,25.00,9.00,9.00,1.00,0.00,20.0,20.0,0.0,1,0,0,2,.330,100.0,4.30,4.43,5.78,42600,97,94,76,0.50,0.0,33.3,66.7,0.0,0.00,9,9,64.0,36.0,18.2,8.0,20.0
17,660522,699.0,2024,1,0,0,0,0,0,0,0,0,2,1,4,13,0.2,0,0,0,0,0,0,0,5,2,1,0,0,9,0,0,0,0,1,1,0,0,0,0,2,2,0,0,0,0,0,2,6,1,4,1,0,1,0,1,0,0,1,1,ARA,,0.00,3.00,.500,19.50,0.00,0.00,nan,0.00,0.0,0.0,0.0,2,1,1,0,.500,100.0,7.80,7.80,5.51,42600,53,53,79,inf,25.0,50.0,0.0,25.0,nan,4,5,69.2,30.8,16.7,7.7,23.1
69,660671,694.0,2024,1,0,0,0,0,0,1,0,0,0,0,1,4,0.1,0,0,0,0,0,0,0,1,1,1,0,0,3,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,ORI,,0.00,0.00,.000,12.00,27.00,0.00,inf,0.00,100.0,0.0,100.0,0,0,0,0,nan,nan,-2.70,-2.70,-3.19,42600,68700,68700,75800,nan,nan,nan,nan,nan,nan,1,2,75.0,25.0,33.3,25.0,0.0
87,660734,697.0,2024,1,0,0,0,0,0,1,0,0,1,1,6,27,2.0,0,0,0,0,0,0,0,7,6,1,0,0,19,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,12,1,5,2,3,0,0,1,0,0,1,0,MAR,,0.00,0.50,.170,13.50,4.50,0.00,inf,0.00,14.3,0.0,14.3,1,0,1,3,.200,100.0,3.80,3.90,4.54,42600,109,107,96,0.33,20.0,20.0,60.0,0.0,0.00,8,11,70.4,29.6,8.3,3.7,25.9
58,660788,695.0,2024,1,1,0,0,0,0,4,0,0,2,0,13,46,4.0,0,0,0,0,0,0,0,13,12,1,0,0,31,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,2,23,9,9,2,2,0,1,4,0,0,0,2,CAR,,0.00,0.50,.150,11.50,9.00,0.00,inf,0.00,30.8,0.0,30.8,6,0,1,2,.220,100.0,1.30,1.33,1.40,42600,320,313,313,3.00,11.1,66.7,22.2,0.0,0.00,15,14,67.4,32.6,39.1,19.6,17.4
60,663778,695.0,2024,1,0,1,0,0,1,0,0,0,2,0,4,14,1.0,0,0,0,0,0,0,1,4,3,1,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,6,0,4,4,1,0,0,1,1,0,1,0,CAR,,9.00,2.00,.500,14.00,0.00,0.00,nan,9.00,0.0,0.0,0.0,1,0,1,2,.330,166.7,16.30,3.43,7.03,46,26,121,62,0.50,25.0,25.0,50.0,0.0,0.50,6,6,57.1,42.9,0.0,0.0,14.3
62,664584,695.0,2024,1,0,1,0,0,1,2,0,0,1,0,4,13,1.0,0,1,0,0,0,0,1,4,3,1,0,0,11,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,7,2,0,1,0,0,0,1,0,0,0,CAR,,9.00,1.00,.250,13.00,18.00,0.00,inf,9.00,50.0,0.0,50.0,0,0,0,2,.000,-0.0,12.30,-0.57,-0.37,46,34,47400,47600,0.00,0.0,0.0,100.0,0.0,0.50,2,4,84.6,15.4,63.6,53.8,0.0
59,665859,695.0,2024,1,0,1,3,0,0,1,0,0,5,0,12,44,2.2,0,0,0,0,0,0,1,12,8,1,0,0,31,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,25,3,11,0,4,1,0,1,1,0,3,1,CAR,,3.38,1.88,.420,16.50,3.38,0.00,inf,0.00,8.3,0.0,8.3,2,1,3,5,.450,80.0,2.55,2.67,5.86,123,163,156,75,0.40,27.3,18.2,45.5,9.1,0.00,13,22,70.5,29.5,12.0,6.8,13.6
70,666005,694.0,2024,2,0,0,1,0,0,0,0,0,1,0,9,26,2.2,0,0,0,0,0,0,0,9,8,2,0,0,19,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,13,1,9,2,2,0,0,6,1,0,0,0,ORI,,0.00,0.38,.110,9.75,0.00,0.00,nan,0.00,0.0,0.0,0.0,6,0,0,3,.110,100.0,3.30,3.37,4.79,42600,126,123,91,2.00,0.0,66.7,33.3,0.0,0.00,7,12,73.1,26.9,7.7,3.8,23.1
72,666007,694.0,2024,1,1,5,2,0,1,1,1,0,7,0,16,68,2.2,0,0,0,0,0,0,2,17,8,1,0,0,40,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,2,27,1,15,5,4,0,0,4,2,0,4,1,ORI,,6.75,3.00,.440,25.50,3.38,3.38,1.00,3.38,5.9,5.9,0.0,5,0,4,6,.430,45.5,8.55,3.82,5.96,62,49,109,73,0.83,26.7,33.3,40.0,0.0,0.17,28,26,58.8,41.2,3.7,1.5,19.1
