x,y,segment
125.18,204.53,foul_lines
121.196206194317,200.544780920901,foul_lines
117.212521734618,196.559452518373,foul_lines
113.228837274919,192.574124115845,foul_lines
109.24515281522,188.588795713317,foul_lines
105.26146835552,184.603467310789,foul_lines
101.277783895821,180.618138908262,foul_lines
97.2940994361222,176.632810505734,foul_lines
93.310414976423,172.647482103206,foul_lines
89.3267305167238,168.662153700678,foul_lines
85.3430460570247,164.67682529815,foul_lines
81.3593615973255,160.691496895622,foul_lines
77.3756771376264,156.706168493094,foul_lines
73.3919926779272,152.720840090566,foul_lines
69.408308218228,148.735511688038,foul_lines
65.4246237585289,144.750183285511,foul_lines
61.4409392988297,140.764854882983,foul_lines
57.4572548391305,136.779526480455,foul_lines
53.4735703794314,132.794198077927,foul_lines
49.4898859197322,128.808869675399,foul_lines
45.506201460033,124.823541272871,foul_lines
41.5225170003339,120.838212870343,foul_lines
37.5388325406347,116.852884467815,foul_lines
33.5551480809356,112.867556065288,foul_lines
29.5714636212364,108.88222766276,foul_lines
26.91237274163,104.1372911732,foul_lines
30.8420587033427,108.024064227713,foul_lines
34.8255517883257,112.00958391683,foul_lines
38.8090448733087,115.995103605947,foul_lines
42.7925379582918,119.980623295063,foul_lines
46.7760310432748,123.96614298418,foul_lines
50.7595241282579,127.951662673297,foul_lines
54.7430172132409,131.937182362413,foul_lines
58.726510298224,135.92270205153,foul_lines
62.710003383207,139.908221740647,foul_lines
66.69349646819,143.893741429763,foul_lines
70.6769895531731,147.87926111888,foul_lines
74.6604826381561,151.864780807996,foul_lines
78.6439757231392,155.850300497113,foul_lines
82.6274688081222,159.83582018623,foul_lines
86.6109618931053,163.821339875346,foul_lines
90.5944549780883,167.806859564463,foul_lines
94.5779480630713,171.79237925358,foul_lines
98.5614411480544,175.777898942696,foul_lines
102.544934233037,179.763418631813,foul_lines
106.52842731802,183.74893832093,foul_lines
110.511920403004,187.734458010046,foul_lines
114.495413487987,191.719977699163,foul_lines
118.47890657297,195.705497388279,foul_lines
122.462399657953,199.691017077396,foul_lines
126.44718748476,201.144758641202,foul_lines
130.434754844703,197.163315322459,foul_lines
134.422322204646,193.181872003716,foul_lines
138.409889564588,189.200428684973,foul_lines
142.397456924531,185.21898536623,foul_lines
146.385024284474,181.237542047487,foul_lines
150.372591644417,177.256098728744,foul_lines
154.36015900436,173.274655410001,foul_lines
158.347726364303,169.293212091258,foul_lines
162.335293724245,165.311768772516,foul_lines
166.322861084188,161.330325453773,foul_lines
170.310428444131,157.34888213503,foul_lines
174.297995804074,153.367438816287,foul_lines
178.285563164017,149.385995497544,foul_lines
182.273130523959,145.404552178801,foul_lines
186.260697883902,141.423108860058,foul_lines
190.248265243845,137.441665541315,foul_lines
194.235832603788,133.460222222572,foul_lines
198.223399963731,129.478778903829,foul_lines
202.210967323673,125.497335585086,foul_lines
206.198534683616,121.515892266343,foul_lines
210.186102043559,117.5344489476,foul_lines
214.173669403502,113.553005628857,foul_lines
218.161236763445,109.571562310114,foul_lines
222.148804123388,105.590118991371,foul_lines
220.882399889544,108.976144812271,foul_lines
216.894799894147,112.957555445093,foul_lines
212.907199898749,116.938966077915,foul_lines
208.919599903351,120.920376710737,foul_lines
204.931999907954,124.901787343559,foul_lines
200.944399912556,128.883197976381,foul_lines
196.956799917158,132.864608609203,foul_lines
192.969199921761,136.846019242025,foul_lines
188.981599926363,140.827429874847,foul_lines
184.993999930965,144.808840507669,foul_lines
181.006399935567,148.790251140491,foul_lines
177.01879994017,152.771661773313,foul_lines
173.031199944772,156.753072406136,foul_lines
169.043599949374,160.734483038958,foul_lines
165.055999953977,164.71589367178,foul_lines
161.068399958579,168.697304304602,foul_lines
157.080799963181,172.678714937424,foul_lines
153.093199967784,176.660125570246,foul_lines
149.105599972386,180.641536203068,foul_lines
145.117999976988,184.62294683589,foul_lines
141.130399981591,188.604357468712,foul_lines
137.142799986193,192.585768101534,foul_lines
133.155199990795,196.567178734356,foul_lines
129.167599995398,200.548589367178,foul_lines
125.18,204.53,foul_lines
126.7,201.88,home_plate
126.62540141009,201.954114183482,home_plate
126.55080282018,202.028228366964,home_plate
126.47620423027,202.102342550446,home_plate
126.40160564036,202.176456733928,home_plate
126.32700705045,202.25057091741,home_plate
