,pitchIndex,actionIndex,runnerIndex,runners,playEvents,credits,flags,homeTeamWinProbability,awayTeamWinProbability,homeTeamWinProbabilityAdded,playEndTime,atBatIndex,result.type,result.event,result.eventType,result.description,result.rbi,result.awayScore,result.homeScore,result.isOut,about.atBatIndex,about.halfInning,about.isTopInning,about.inning,about.startTime,about.endTime,about.isComplete,about.isScoringPlay,about.hasReview,about.hasOut,about.captivatingIndex,count.balls,count.strikes,count.outs,matchup.batter.id,matchup.batter.fullName,matchup.batter.link,matchup.batSide.code,matchup.batSide.description,matchup.pitcher.id,matchup.pitcher.fullName,matchup.pitcher.link,matchup.pitchHand.code,matchup.pitchHand.description,matchup.batterHotColdZones,matchup.pitcherHotColdZones,matchup.splits.batter,matchup.splits.pitcher,matchup.splits.menOnBase,leverageIndex,matchup.postOnFirst.id,matchup.postOnFirst.fullName,matchup.postOnFirst.link,matchup.postOnSecond.id,matchup.postOnSecond.fullName,matchup.postOnSecond.link,matchup.postOnThird.id,matchup.postOnThird.fullName,matchup.postOnThird.link,trajectory,hardness,location,coordinates.coordX,coordinates.coordY,reviewDetails.isOverturned,reviewDetails.inProgress,reviewDetails.reviewType,reviewDetails.challengeTeamId
104,"0,1,2,3,4,5",,0,[object Object],"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","[object Object],[object Object],[object Object],[object Object]",,78.2,21.799999999999997,1.7999999999999972,2024-10-12T22:04:15.390Z,26,atBat,Ponche,strikeout,Angel Reyes se poncha sin tirarle.,0,0,2,true,26,top,true,4,2024-10-12T22:01:47.151Z,2024-10-12T22:04:15.390Z,true,false,false,true,14,2,3,2,622580,Angel Reyes,/api/v1/people/622580,R,Right,660788,Jesus Vargas,/api/v1/people/660788,R,Right,,,vs_RHP,vs_RHB,Empty,0.72,,,,,,,,,,,,,,,,,,
105,0,,0,[object Object],[object Object],"[object Object],[object Object],[object Object],[object Object]",,79.3,20.700000000000003,1.0999999999999943,2024-10-12T22:04:53.679Z,27,atBat,Roletazo de Out,field_out,"Andrick Nava batea rodado de out, segunda base Harold Castro a primera base Aldrem Corredor.",0,0,2,true,27,top,true,4,2024-10-12T22:04:16.857Z,2024-10-12T22:04:53.679Z,true,false,false,true,0,0,0,3,682774,Andrick Nava,/api/v1/people/682774,L,Left,660788,Jesus Vargas,/api/v1/people/660788,R,Right,,,vs_RHP,vs_LHB,Empty,0.45,,,,,,,,,,ground_ball,medium,4,147.04,154.67,,,,
106,"1,2,3,4,5,6,7,8",0,0,[object Object],"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","[object Object],[object Object],[object Object],[object Object]",,77.9,22.099999999999994,-1.3999999999999915,2024-10-12T22:11:12.393Z,28,atBat,Ponche,strikeout,Harold Castro se poncha con foul tip.,0,0,2,true,28,bottom,false,4,2024-10-12T22:08:14.285Z,2024-10-12T22:11:12.393Z,true,false,false,true,14,2,3,1,605612,Harold Castro,/api/v1/people/605612,L,Left,683020,Gustavo Rodriguez,/api/v1/people/683020,R,Right,,,vs_RHP,vs_LHB,Empty,0.6,,,,,,,,,,,,,,,,,,
107,0,,0,[object Object],[object Object],"[object Object],[object Object],[object Object],[object Object]",,76.8,23.200000000000003,-1.1000000000000085,2024-10-12T22:11:57.475Z,29,atBat,Roletazo de Out,field_out,"Yonathan Daza batea rodado de out, segunda base Nerwilian Cedeño a primera base Luis Castro.",0,0,2,true,29,bottom,false,4,2024-10-12T22:11:14.007Z,2024-10-12T22:11:57.475Z,true,false,false,true,0,0,0,2,602074,Yonathan Daza,/api/v1/people/602074,R,Right,683020,Gustavo Rodriguez,/api/v1/people/683020,R,Right,,,vs_RHP,vs_RHB,Empty,0.44,,,,,,,,,,ground_ball,medium,4,147.04,152.85,,,,
108,0,,0,[object Object],[object Object],"[object Object],[object Object],[object Object],[object Object]",,76.1,23.900000000000006,-0.7000000000000028,2024-10-12T22:12:34.720Z,30,atBat,Roletazo de Out,field_out,"Carlos Tocci batea rodado de out, segunda base Nerwilian Cedeño a primera base Luis Castro.",0,0,2,true,30,bottom,false,4,2024-10-12T22:11:58.795Z,2024-10-12T22:12:34.720Z,true,false,false,true,0,0,0,3,624636,Carlos Tocci,/api/v1/people/624636,R,Right,683020,Gustavo Rodriguez,/api/v1/people/683020,R,Right,,,vs_RHP,vs_RHB,Empty,0.3,,,,,,,,,,ground_ball,medium,4,140.38,149.22,,,,
109,"1,2,3,4",0,0,[object Object],"[object Object],[object Object],[object Object],[object Object],[object Object]","[object Object],[object Object],[object Object],[object Object]",,68.5,31.5,-7.599999999999994,2024-10-12T22:16:39.273Z,31,atBat,Doble,double,Luis Castro pega doble (1) con línea a jardinero central Carlos Tocci.,0,0,2,false,31,top,true,5,2024-10-12T22:15:20.943Z,2024-10-12T22:16:39.273Z,true,false,false,false,34,2,1,0,620449,Luis Castro,/api/v1/people/620449,R,Right,517448,Wilfredo Boscan,/api/v1/people/517448,R,Right,,,vs_RHP,vs_RHB,RISP,1.13,,,,620449,Luis Castro,/api/v1/people/620449,,,,line_drive,medium,8,134.33,63.3,,,,
110,"0,1,2",,0,[object Object],"[object Object],[object Object],[object Object]","[object Object],[object Object],[object Object],[object Object]",[object Object],73.9,26.099999999999994,5.400000000000006,2024-10-12T22:18:22.865Z,32,atBat,Elevado de Out,field_out,Sandy León batea elevadito de out a receptor Eliezer Alfonzo en territorio de foul.,0,0,2,true,32,top,true,5,2024-10-12T22:16:40.549Z,2024-10-12T22:18:22.865Z,true,false,false,true,0,0,2,1,506702,Sandy León,/api/v1/people/506702,L,Left,517448,Wilfredo Boscan,/api/v1/people/517448,R,Right,,,vs_RHP,vs_LHB,RISP,1.68,,,,620449,Luis Castro,/api/v1/people/620449,,,,popup,medium,2,146.43,216.39,,,,
111,"0,1,2",,0,[object Object],"[object Object],[object Object],[object Object]","[object Object],[object Object],[object Object],[object Object]",,78.10000000000001,21.89999999999999,4.200000000000003,2024-10-12T22:19:34.533Z,33,atBat,Roletazo de Out,field_out,"Gabriel Martinez batea rodado de out, campo corto Lenyn Sosa a primera base Aldrem Corredor.",0,0,2,true,33,top,true,5,2024-10-12T22:18:25.801Z,2024-10-12T22:19:34.533Z,true,false,false,true,0,1,1,2,683447,Gabriel Martinez,/api/v1/people/683447,R,Right,517448,Wilfredo Boscan,/api/v1/people/517448,R,Right,,,vs_RHP,vs_RHB,RISP,1.56,,,,620449,Luis Castro,/api/v1/people/620449,,,,ground_ball,medium,6,110.73,154.67,,,,
112,"0,1,2,3",,0,[object Object],"[object Object],[object Object],[object Object],[object Object]","[object Object],[object Object]",,76.6,23.400000000000006,-1.5000000000000142,2024-10-12T22:21:15.691Z,34,atBat,Base por Bolas,walk,Nerwilian Cedeño recibe base por bolas.,0,0,2,false,34,top,true,5,2024-10-12T22:19:36.403Z,2024-10-12T22:21:15.691Z,true,false,false,false,0,4,0,2,683481,Nerwilian Cedeño,/api/v1/people/683481,L,Left,517448,Wilfredo Boscan,/api/v1/people/517448,R,Right,,,vs_RHP,vs_LHB,RISP,1.33,683481,Nerwilian Cedeño,/api/v1/people/683481,620449,Luis Castro,/api/v1/people/620449,,,,,,,,,,,,
113,"1,2,3,4,5,6,8,9,10,11",7,"0,1,2,3,4","[object Object],[object Object],[object Object],[object Object],[object Object]","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","[object Object],[object Object],[object Object],[object Object]",,53.400000000000006,46.599999999999994,-21.099999999999994,2024-10-12T22:26:47.309Z,35,atBat,Sencillo,single,Miguel Villarroel pega sencillo con rodado a jardinero izquierdo Danny Ortiz.   Luis Castro anota  Nerwilian Cedeño anota.,2,2,2,false,35,top,true,5,2024-10-12T22:22:22.545Z,2024-10-12T22:26:47.309Z,true,true,false,false,70,3,2,2,692446,Miguel Villarroel,/api/v1/people/692446,R,Right,517448,Wilfredo Boscan,/api/v1/people/517448,R,Right,,,vs_RHP,vs_RHB,Men_On,2.09,692446,Miguel Villarroel,/api/v1/people/692446,,,,,,,ground_ball,medium,7,84.71,139.54,,,,
114,"2,3,5","1,4","0,1,2","[object Object],[object Object],[object Object]","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","[object Object],[object Object],[object Object],[object Object]",,38.2,61.8,-13.699999999999996,2024-10-12T22:30:12.360Z,36,atBat,Sencillo,single,Símon Muzziotti pega sencillo con rodado a jardinero derecho Yonathan Daza.   Miguel Villarroel anota.,1,3,2,false,36,top,true,5,2024-10-12T22:29:23.784Z,2024-10-12T22:30:12.360Z,true,true,false,false,60,1,0,2,665922,Símon Muzziotti,/api/v1/people/665922,L,Left,600526,José Torres,/api/v1/people/600526,L,Left,,,vs_LHP,vs_LHB,Men_On,1.11,665922,Símon Muzziotti,/api/v1/people/665922,,,,,,,ground_ball,medium,9,180.93,133.49,,,,
115,"0,1,2,3,4,5,6,7,9",8,"0,1","[object Object],[object Object]","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","[object Object],[object Object],[object Object],[object Object]",,40.699999999999996,59.300000000000004,3.6999999999999957,2024-10-12T22:35:43.708Z,37,atBat,Roletazo de Out,field_out,"Eduardo Torrealba batea rodado de out, campo corto Lenyn Sosa a primera base Aldrem Corredor.",0,3,2,true,37,top,true,5,2024-10-12T22:30:14.255Z,2024-10-12T22:35:43.708Z,true,false,false,true,0,2,2,3,665908,Eduardo Torrealba,/api/v1/people/665908,R,Right,600526,José Torres,/api/v1/people/600526,L,Left,,,vs_LHP,vs_RHB,Empty,0.88,,,,,,,,,,ground_ball,medium,6,116.18,162.54,,,,
116,"0,1",,0,[object Object],"[object Object],[object Object]","[object Object],[object Object],[object Object],[object Object]",,50.1,49.9,9.400000000000006,2024-10-12T22:38:37.487Z,38,atBat,Doble,double,Wilfredo Tovar pega doble (1) con línea a jardinero derecho Angel Reyes.,0,3,2,false,38,bottom,false,5,2024-10-12T22:37:30.480Z,2024-10-12T22:38:37.487Z,true,false,false,false,34,0,1,0,541600,Wilfredo Tovar,/api/v1/people/541600,R,Right,683020,Gustavo Rodriguez,/api/v1/people/683020,R,Right,,,vs_RHP,vs_RHB,RISP,1.36,,,,541600,Wilfredo Tovar,/api/v1/people/541600,,,,line_drive,medium,9,185.77,138.33,,,,
117,0,,"0,1","[object Object],[object Object]",[object Object],"[object Object],[object Object],[object Object],[object Object]",,48.4,51.6,-1.7000000000000028,2024-10-12T22:39:30.077Z,39,atBat,Roletazo de Out,field_out,Danny Ortiz batea rodado de out a primera base Luis Castro.   Wilfredo Tovar a 3ra.,0,3,2,true,39,bottom,false,5,2024-10-12T22:38:38.857Z,2024-10-12T22:39:30.077Z,true,false,false,true,0,0,0,1,543611,Danny Ortiz,/api/v1/people/543611,L,Left,683020,Gustavo Rodriguez,/api/v1/people/683020,R,Right,,,vs_RHP,vs_LHB,RISP,1.87,,,,,,,541600,Wilfredo Tovar,/api/v1/people/541600,ground_ball,medium,4,140.99,152.25,,,,
118,"0,1,2,3,4",,"0,1","[object Object],[object Object]","[object Object],[object Object],[object Object],[object Object],[object Object]","[object Object],[object Object],[object Object],[object Object]",,59.3,40.7,10.899999999999999,2024-10-12T22:41:34.858Z,40,atBat,Doble,double,Lenyn Sosa pega doble (1) con elevado a jardinero central Símon Muzziotti.   Wilfredo Tovar anota.,1,3,3,false,40,bottom,false,5,2024-10-12T22:39:31.451Z,2024-10-12T22:41:34.858Z,true,true,false,false,71,0,2,1,672820,Lenyn Sosa,/api/v1/people/672820,R,Right,683020,Gustavo Rodriguez,/api/v1/people/683020,R,Right,,,vs_RHP,vs_RHB,RISP,2.11,,,,672820,Lenyn Sosa,/api/v1/people/672820,,,,fly_ball,medium,8,130.09,89.92,,,,
119,0,,"0,1","[object Object],[object Object]",[object Object],"[object Object],[object Object],[object Object],[object Object]",,55.300000000000004,44.699999999999996,-3.999999999999993,2024-10-12T22:44:00.773Z,41,atBat,Roletazo de Out,field_out,José Rondón batea rodado de out a primera base Luis Castro.   Lenyn Sosa a 3ra.,0,3,3,true,41,bottom,false,5,2024-10-12T22:41:44.524Z,2024-10-12T22:44:00.773Z,true,false,false,true,0,0,0,2,602922,José Rondón,/api/v1/people/602922,R,Right,683020,Gustavo Rodriguez,/api/v1/people/683020,R,Right,,,vs_RHP,vs_RHB,RISP,1.64,,,,,,,672820,Lenyn Sosa,/api/v1/people/672820,ground_ball,medium,6,110.73,159.51,,,,
120,"0,1,2,3",,"0,1","[object Object],[object Object]","[object Object],[object Object],[object Object],[object Object]","[object Object],[object Object],[object Object],[object Object]",,68.89999999999999,31.10000000000001,13.599999999999987,2024-10-12T22:45:22.672Z,42,atBat,Sencillo,single,Aldrem Corredor pega sencillo con rodado a jardinero derecho Angel Reyes.   Lenyn Sosa anota.,1,3,4,false,42,bottom,false,5,2024-10-12T22:44:02.657Z,2024-10-12T22:45:22.672Z,true,true,false,false,60,1,2,2,625506,Aldrem Corredor,/api/v1/people/625506,L,Left,683020,Gustavo Rodriguez,/api/v1/people/683020,R,Right,,,vs_RHP,vs_LHB,Men_On,1.92,625506,Aldrem Corredor,/api/v1/people/625506,,,,,,,ground_ball,medium,9,163.38,156.49,,,,
121,"0,1,2,3,4",,"0,1,2","[object Object],[object Object],[object Object]","[object Object],[object Object],[object Object],[object Object],[object Object]","[object Object],[object Object],[object Object],[object Object]",,71.39999999999999,28.60000000000001,2.5,2024-10-12T22:47:21.541Z,43,atBat,Sencillo,single,Eliezer Alfonzo pega sencillo con rodado a jardinero derecho Angel Reyes.   Aldrem Corredor a 3ra.,0,3,4,false,43,bottom,false,5,2024-10-12T22:45:24.648Z,2024-10-12T22:47:21.541Z,true,false,false,false,33,3,1,2,672613,Eliezer Alfonzo,/api/v1/people/672613,L,Left,683020,Gustavo Rodriguez,/api/v1/people/683020,R,Right,,,vs_RHP,vs_LHB,RISP,0.8,672613,Eliezer Alfonzo,/api/v1/people/672613,,,,625506,Aldrem Corredor,/api/v1/people/625506,ground_ball,medium,9,162.77,148.01,,,,
122,2,1,0,[object Object],"[object Object],[object Object],[object Object]","[object Object],[object Object],[object Object],[object Object]",,66.7,33.3,-4.699999999999989,2024-10-12T22:51:56.473Z,44,atBat,Elevado de Out,field_out,Harold Castro batea elevadito de out a campo corto Eduardo Torrealba.,0,3,4,true,44,bottom,false,5,2024-10-12T22:51:42.320Z,2024-10-12T22:51:56.473Z,true,false,false,true,0,0,0,3,605612,Harold Castro,/api/v1/people/605612,L,Left,678640,Carlos Betancourt,/api/v1/people/678640,R,Right,,,vs_RHP,vs_LHB,Empty,1.73,,,,,,,,,,popup,medium,6,110.13,158.3,,,,
123,"1,2",0,0,[object Object],"[object Object],[object Object],[object Object]","[object Object],[object Object],[object Object],[object Object]",,70.3,29.700000000000003,3.5999999999999943,2024-10-12T22:55:06.918Z,45,atBat,Roletazo de Out,field_out,"Angel Reyes batea rodado de out, tercera base Wilfredo Tovar a primera base Aldrem Corredor.",0,3,4,true,45,top,true,6,2024-10-12T22:54:34.301Z,2024-10-12T22:55:06.918Z,true,false,false,true,0,1,0,1,622580,Angel Reyes,/api/v1/people/622580,R,Right,504083,Jorge Rondon,/api/v1/people/504083,R,Right,,,vs_RHP,vs_RHB,Empty,1.45,,,,,,,,,,ground_ball,medium,5,108.31,175.85,,,,
124,"0,1",,0,[object Object],"[object Object],[object Object]","[object Object],[object Object],[object Object],[object Object]",,72.89999999999999,27.10000000000001,2.5999999999999943,2024-10-12T22:56:09.305Z,46,atBat,Elevado de Out,field_out,Andrick Nava batea elevado de out a jardinero derecho Yonathan Daza.,0,3,4,true,46,top,true,6,2024-10-12T22:55:08.166Z,2024-10-12T22:56:09.305Z,true,false,false,true,0,0,1,2,682774,Andrick Nava,/api/v1/people/682774,L,Left,504083,Jorge Rondon,/api/v1/people/504083,R,Right,,,vs_RHP,vs_LHB,Empty,1.04,,,,,,,,,,fly_ball,medium,9,182.14,100.21,,,,
125,"0,1,2,3,4",,0,[object Object],"[object Object],[object Object],[object Object],[object Object],[object Object]","[object Object],[object Object],[object Object],[object Object]",,70.8,29.200000000000003,-2.0999999999999943,2024-10-12T22:58:12.743Z,47,atBat,Sencillo,single,Luis Castro pega sencillo con rodado a tercera base Wilfredo Tovar.,0,3,4,false,47,top,true,6,2024-10-12T22:56:10.465Z,2024-10-12T22:58:12.743Z,true,false,false,false,33,3,1,2,620449,Luis Castro,/api/v1/people/620449,R,Right,504083,Jorge Rondon,/api/v1/people/504083,R,Right,,,vs_RHP,vs_RHB,Men_On,0.67,620449,Luis Castro,/api/v1/people/620449,,,,,,,ground_ball,medium,5,108.31,176.45,,,,
126,"0,1,2",,0,[object Object],"[object Object],[object Object],[object Object]","[object Object],[object Object],[object Object],[object Object]",,74.6,25.400000000000006,3.799999999999997,2024-10-12T23:00:24.340Z,48,atBat,Elevado de Out,field_out,Sandy León batea elevado de out a jardinero izquierdo Danny Ortiz.,0,3,4,true,48,top,true,6,2024-10-12T22:58:15.281Z,2024-10-12T23:00:24.340Z,true,false,false,true,0,1,1,3,506702,Sandy León,/api/v1/people/506702,L,Left,504083,Jorge Rondon,/api/v1/people/504083,R,Right,,,vs_RHP,vs_LHB,Empty,1.33,,,,,,,,,,fly_ball,medium,7,77.45,118.97,,,,
127,"1,2,3,4",0,0,[object Object],"[object Object],[object Object],[object Object],[object Object],[object Object]","[object Object],[object Object]",,77.7,22.299999999999997,3.1000000000000085,2024-10-12T23:03:53.653Z,49,atBat,Base por Bolas,walk,Yonathan Daza recibe base por bolas.,0,3,4,false,49,bottom,false,6,2024-10-12T23:02:51.629Z,2024-10-12T23:03:53.653Z,true,false,false,false,0,4,0,0,602074,Yonathan Daza,/api/v1/people/602074,R,Right,666661,Juan Morillo,/api/v1/people/666661,R,Right,,,vs_RHP,vs_RHB,Men_On,0.83,602074,Yonathan Daza,/api/v1/people/602074,,,,,,,,,,,,,,,
128,"0,2,3,4,5",,0,[object Object],"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","[object Object],[object Object],[object Object],[object Object]",,74.8,25.200000000000003,-2.9000000000000057,2024-10-12T23:06:44.369Z,50,atBat,Ponche,strikeout,Carlos Tocci se poncha sin tirarle.,0,3,4,true,50,bottom,false,6,2024-10-12T23:03:56.949Z,2024-10-12T23:06:44.369Z,true,false,false,true,14,2,3,1,624636,Carlos Tocci,/api/v1/people/624636,R,Right,666661,Juan Morillo,/api/v1/people/666661,R,Right,,,vs_RHP,vs_RHB,Men_On,1.29,602074,Yonathan Daza,/api/v1/people/602074,,,,,,,,,,,,,,,
